date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:15	234/234	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Dec%202020%2014:45:08%20GMT	https://preview.colorlib.com/robots.txt		(from )
15:45:16	32324/32324	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202019%2004:22:42%20GMT	https://preview.colorlib.com/theme/digilab/	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/index.html	(from )
15:45:16	9467/9467	---M-Z	200	added ('OK')	text/css	etag:%2224fb-584cf72392e40-gzip%22	https://preview.colorlib.com/theme/digilab/css/open-iconic-bootstrap.min.css	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/css/open-iconic-bootstrap.min.css	(from https://preview.colorlib.com/theme/digilab/)
15:45:16	56663/56663	---MCZ	200	added ('OK')	text/css	etag:W/%2211fa9-584cf71544c80-gzip%22	https://preview.colorlib.com/theme/digilab/css/animate.css	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/css/animate.css	(from https://preview.colorlib.com/theme/digilab/)
15:45:16	3440/3440	---M-Z	200	added ('OK')	text/css	etag:%22d70-584cf7257b2c0-gzip%22	https://preview.colorlib.com/theme/digilab/css/owl.carousel.min.css	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/digilab/)
15:45:17	965/965	---M-Z	200	added ('OK')	text/css	etag:%223c5-584cf7266f500-gzip%22	https://preview.colorlib.com/theme/digilab/css/owl.theme.default.min.css	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/css/owl.theme.default.min.css	(from https://preview.colorlib.com/theme/digilab/)
15:45:17	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%221b26-584cf721aa9c0-gzip%22	https://preview.colorlib.com/theme/digilab/css/magnific-popup.css	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/css/magnific-popup.css	(from https://preview.colorlib.com/theme/digilab/)
15:45:17	25948/25948	---MCZ	200	added ('OK')	text/css	etag:W/%22657f-584cf71174380-gzip%22	https://preview.colorlib.com/theme/digilab/css/aos.css	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/css/aos.css	(from https://preview.colorlib.com/theme/digilab/)
15:45:18	46816/46816	---M-Z	200	added ('OK')	text/css	etag:%22b6e0-584cf7266f500-gzip%22	https://preview.colorlib.com/theme/digilab/css/ionicons.min.css	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/css/ionicons.min.css	(from https://preview.colorlib.com/theme/digilab/)
15:45:18	1102/1102	---MCZ	200	added ('OK')	text/css	etag:W/%2257f-584cf7172d100-gzip%22	https://preview.colorlib.com/theme/digilab/css/flaticon.css	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/css/flaticon.css	(from https://preview.colorlib.com/theme/digilab/)
15:45:18	66594/66594	---MCZ	200	added ('OK')	text/css	etag:W/%2213803-584cf71ece300-gzip%22	https://preview.colorlib.com/theme/digilab/css/icomoon.css	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/css/icomoon.css	(from https://preview.colorlib.com/theme/digilab/)
15:45:18	217757/217757	---MCZ	200	added ('OK')	text/css	etag:W/%224284e-584cf730ecdc0-gzip%22	https://preview.colorlib.com/theme/digilab/css/style.css	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/css/style.css	(from https://preview.colorlib.com/theme/digilab/)
15:45:19	32324/32324	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202019%2004:22:42%20GMT	https://preview.colorlib.com/theme/digilab/index.html	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/index-2.html	(from https://preview.colorlib.com/theme/digilab/)
15:45:20	104719/104719	---M--	200	added ('OK')	image/jpeg	etag:%221ab34-584cf744f3d00%22	https://preview.colorlib.com/theme/digilab/images/bg_1.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/bg_1.jpg	(from https://preview.colorlib.com/theme/digilab/)
15:45:21	214917/214917	---M--	200	added ('OK')	image/jpeg	etag:%2237601-584cf74e7d380%22	https://preview.colorlib.com/theme/digilab/images/bg_2.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/bg_2.jpg	(from https://preview.colorlib.com/theme/digilab/)
15:45:22	100042/100042	---M--	200	added ('OK')	image/jpeg	etag:%2219a53-584cf78c7a5c0%22	https://preview.colorlib.com/theme/digilab/images/project-1.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/project-1.jpg	(from https://preview.colorlib.com/theme/digilab/)
